INPUT,OUTPUT,helper
0.0431,4.1376,9910
0.0444,4.1376,9909
0.0437,4.1377,9908
0.0448,4.1376,9907
0.0458,4.1376,9906
0.0456,4.1376,9905
0.0462,4.1376,9904
0.0473,4.1376,9903
0.0467,4.1375,9902
0.0487,4.1376,9901
0.0479,4.1376,9900
0.0483,4.1376,9899
0.0505,4.1373,9898
0.0493,4.1375,9897
0.0495,4.1376,9896
0.0519,4.1375,9895
0.0505,4.1376,9894
0.0517,4.1374,9893
0.0531,4.1376,9892
0.052,4.1374,9891
0.0534,4.1374,9890
0.0545,4.1375,9889
0.0539,4.1374,9888
0.0559,4.1375,9887
0.0548,4.1376,9886
0.0549,4.1376,9885
0.0577,4.1376,9884
0.0562,4.1376,9883
0.0567,4.1376,9882
0.0592,4.1376,9881
0.0568,4.1375,9880
0.0587,4.1377,9879
0.06,4.1376,9878
0.0593,4.1376,9877
0.0602,4.1376,9876
0.0616,4.1375,9875
0.0604,4.1374,9874
0.063,4.1375,9873
0.0616,4.1377,9872
0.0622,4.1376,9871
0.0646,4.1376,9870
0.0634,4.1375,9869
0.0634,4.1374,9868
0.0662,4.1374,9867
0.0644,4.1374,9866
0.0657,4.1374,9865
0.067,4.1374,9864
0.0659,4.1376,9863
0.0672,4.1374,9862
0.0684,4.1376,9861
0.0679,4.1376,9860
0.0699,4.1375,9859
0.0688,4.1374,9858
0.0691,4.1374,9857
0.0713,4.1373,9856
0.0704,4.1376,9855
0.0711,4.1374,9854
0.0727,4.1375,9853
0.0715,4.1375,9852
0.0728,4.1374,9851
0.0737,4.1374,9850
0.0735,4.1376,9849
0.0742,4.1375,9848
0.0752,4.1376,9847
0.0751,4.1375,9846
0.0763,4.1376,9845
0.0763,4.1377,9844
0.0768,4.1376,9843
0.0777,4.1376,9842
0.078,4.1376,9841
0.0784,4.1375,9840
0.079,4.1375,9839
0.0796,4.1376,9838
0.0801,4.1374,9837
0.0802,4.1374,9836
0.0811,4.1374,9835
0.0816,4.1375,9834
0.0814,4.1376,9833
0.0825,4.1374,9832
0.0826,4.1374,9831
0.0833,4.1374,9830
0.0844,4.1375,9829
0.0839,4.1373,9828
0.0848,4.1375,9827
0.0859,4.1374,9826
0.0849,4.1374,9825
0.0869,4.1373,9824
0.0872,4.1375,9823
0.0863,4.1373,9822
0.0883,4.1376,9821
0.0886,4.1376,9820
0.0878,4.1376,9819
0.0899,4.1376,9818
0.0891,4.1376,9817
0.0905,4.1376,9816
0.0912,4.1375,9815
0.0906,4.1375,9814
0.0918,4.1374,9813
0.0936,4.1374,9812
0.0916,4.1375,9811
0.0937,4.1376,9810
0.0943,4.1376,9809
0.093,4.1376,9808
0.0958,4.1376,9807
0.0959,4.1374,9806
0.0945,4.1375,9805
0.0968,4.1373,9804
0.096,4.1375,9803
0.0974,4.1375,9802
0.0987,4.1375,9801
0.0977,4.1374,9800
0.099,4.1376,9799
0.1004,4.1375,9798
0.0984,4.1374,9797
0.1012,4.1376,9796
0.1013,4.1376,9795
0.1,4.1374,9794
0.1024,4.1375,9793
0.103,4.1374,9792
0.1016,4.1374,9791
0.1041,4.1375,9790
0.103,4.1375,9789
0.1043,4.1374,9788
0.1052,4.1376,9787
0.1045,4.1374,9786
0.1059,4.1376,9785
0.1075,4.1376,9784
0.1056,4.1374,9783
0.1077,4.1373,9782
0.1082,4.1376,9781
0.1073,4.1376,9780
0.1094,4.1375,9779
0.1097,4.1375,9778
0.109,4.1375,9777
0.1106,4.1374,9776
0.1102,4.1376,9775
0.1113,4.1376,9774
0.1122,4.1376,9773
0.1119,4.1376,9772
0.1129,4.1376,9771
0.1137,4.1376,9770
0.1133,4.1375,9769
0.1148,4.1375,9768
0.1151,4.1373,9767
0.115,4.1375,9766
0.1161,4.1376,9765
0.1166,4.1376,9764
0.1167,4.1375,9763
0.1175,4.1374,9762
0.118,4.1377,9761
0.1183,4.1376,9760
0.1188,4.1377,9759
0.1197,4.1376,9758
0.1198,4.1377,9757
0.1201,4.1377,9756
0.1213,4.1377,9755
0.1209,4.1377,9754
0.1218,4.1377,9753
0.1229,4.1378,9752
0.122,4.1379,9751
0.1232,4.1379,9750
0.1241,4.1379,9749
0.124,4.138,9748
0.1256,4.1378,9747
0.1248,4.1379,9746
0.1253,4.1379,9745
0.1272,4.1378,9744
0.1263,4.1379,9743
0.127,4.1379,9742
0.1287,4.1378,9741
0.1277,4.1379,9740
0.128,4.1379,9739
0.1304,4.138,9738
0.1289,4.1379,9737
0.1301,4.1381,9736
0.1314,4.138,9735
0.1305,4.1379,9734
0.1318,4.138,9733
0.1332,4.1378,9732
0.1323,4.1379,9731
0.1346,4.1378,9730
0.1331,4.1378,9729
0.1333,4.1378,9728
0.1362,4.1379,9727
0.1347,4.138,9726
0.1353,4.1379,9725
0.1376,4.1378,9724
0.1353,4.1379,9723
0.1371,4.138,9722
0.1386,4.1379,9721
0.1377,4.1379,9720
0.1387,4.1379,9719
0.1401,4.1379,9718
0.1389,4.1378,9717
0.1415,4.1379,9716
0.1402,4.1377,9715
0.1407,4.1378,9714
0.1431,4.1379,9713
0.1417,4.138,9712
0.1419,4.138,9711
0.1446,4.138,9710
0.1428,4.1379,9709
0.1443,4.1379,9708
0.1455,4.1379,9707
0.1446,4.1379,9706
0.1457,4.1378,9705
0.1469,4.1379,9704
0.1465,4.1379,9703
0.1482,4.1379,9702
0.1474,4.1379,9701
0.1476,4.1379,9700
0.1497,4.1379,9699
0.1488,4.138,9698
0.1495,4.138,9697
0.1512,4.1379,9696
0.1501,4.1378,9695
0.1514,4.1377,9694
0.1523,4.1378,9693
0.152,4.1377,9692
0.1528,4.1378,9691
0.1536,4.1378,9690
0.1535,4.1379,9689
0.1547,4.1379,9688
0.1547,4.1378,9687
0.1554,4.138,9686
0.1561,4.1377,9685
0.1564,4.1377,9684
0.1571,4.1378,9683
0.1573,4.138,9682
0.158,4.1379,9681
0.1585,4.1379,9680
0.1586,4.1379,9679
0.1596,4.138,9678
0.1601,4.1378,9677
0.1598,4.1379,9676
0.1611,4.138,9675
0.161,4.138,9674
0.1619,4.138,9673
0.1631,4.1379,9672
0.1622,4.1379,9671
0.1635,4.1378,9670
0.1644,4.1379,9669
0.1634,4.1379,9668
0.1654,4.1378,9667
0.1656,4.1379,9666
0.1649,4.1379,9665
0.1665,4.1379,9664
0.1672,4.1377,9663
0.1662,4.1379,9662
0.1684,4.1379,9661
0.1676,4.138,9660
0.1689,4.1379,9659
0.1702,4.1379,9658
0.1686,4.1379,9657
0.1705,4.1378,9656
0.172,4.1378,9655
0.1698,4.1378,9654
0.1723,4.1379,9653
0.1728,4.1379,9652
0.1716,4.138,9651
0.174,4.138,9650
0.1743,4.1379,9649
0.1731,4.138,9648
0.1753,4.138,9647
0.1744,4.138,9646
0.176,4.138,9645
0.1778,4.1381,9644
0.1754,4.1381,9643
0.1773,4.1379,9642
0.1788,4.138,9641
0.177,4.138,9640
0.1797,4.138,9639
0.1798,4.138,9638
0.1784,4.138,9637
0.1809,4.1381,9636
0.1814,4.138,9635
0.1802,4.138,9634
0.1827,4.1379,9633
0.1815,4.1379,9632
0.1827,4.1379,9631
0.1837,4.138,9630
0.1831,4.138,9629
0.1843,4.138,9628
0.186,4.1381,9627
0.1843,4.138,9626
0.1861,4.1382,9625
0.1867,4.1382,9624
0.1858,4.1383,9623
0.188,4.1384,9622
0.1882,4.1382,9621
0.1875,4.1383,9620
0.1892,4.1382,9619
0.1889,4.1383,9618
0.1898,4.1383,9617
0.1907,4.1384,9616
0.1904,4.1384,9615
0.1914,4.1386,9614
0.1923,4.1386,9613
0.1919,4.1385,9612
0.1932,4.1386,9611
0.1936,4.1385,9610
0.1936,4.1385,9609
0.1945,4.1384,9608
0.195,4.1385,9607
0.1956,4.1386,9606
0.1959,4.1386,9605
0.1966,4.1385,9604
0.1968,4.1385,9603
0.1973,4.1385,9602
0.1982,4.1384,9601
0.1981,4.1385,9600
0.1985,4.1388,9599
0.1999,4.1386,9598
0.1995,4.1386,9597
0.2004,4.1385,9596
0.2015,4.1383,9595
0.2005,4.1385,9594
0.2018,4.1383,9593
0.2026,4.1384,9592
0.2025,4.1385,9591
0.2041,4.1386,9590
0.2033,4.1383,9589
0.2037,4.1384,9588
0.2057,4.1384,9587
0.2049,4.1384,9586
0.2054,4.1384,9585
0.2074,4.1385,9584
0.2057,4.1385,9583
0.2071,4.1383,9582
0.2089,4.1384,9581
0.2073,4.1384,9580
0.2087,4.1385,9579
0.21,4.1384,9578
0.2089,4.1386,9577
0.2116,4.1385,9576
0.2102,4.1386,9575
0.211,4.1385,9574
0.2131,4.1386,9573
0.2117,4.1383,9572
0.2119,4.1385,9571
0.2146,4.1383,9570
0.2126,4.1383,9569
0.2143,4.1384,9568
0.2162,4.1384,9567
0.2139,4.1384,9566
0.2157,4.1383,9565
0.2171,4.1384,9564
0.2163,4.1383,9563
0.2186,4.1383,9562
0.2171,4.1383,9561
0.2175,4.1383,9560
0.2201,4.1383,9559
0.2188,4.1383,9558
0.2195,4.1383,9557
0.2215,4.1383,9556
0.2195,4.1383,9555
0.2212,4.1383,9554
0.223,4.1385,9553
0.2214,4.1383,9552
0.2228,4.1384,9551
0.224,4.1383,9550
0.2232,4.1385,9549
0.2253,4.1383,9548
0.2245,4.1384,9547
0.225,4.1385,9546
0.2268,4.1385,9545
0.2259,4.1383,9544
0.2263,4.1385,9543
0.2282,4.1385,9542
0.2271,4.1384,9541
0.2282,4.1385,9540
0.2296,4.1385,9539
0.2286,4.1386,9538
0.2298,4.1386,9537
0.2308,4.1384,9536
0.2307,4.1384,9535
0.2314,4.1384,9534
0.2321,4.1383,9533
0.2322,4.1385,9532
0.2332,4.1385,9531
0.2333,4.1384,9530
0.2339,4.1385,9529
0.2346,4.1385,9528
0.235,4.1386,9527
0.2357,4.1386,9526
0.2357,4.1386,9525
0.2366,4.1384,9524
0.2371,4.1385,9523
0.2371,4.1385,9522
0.2382,4.1385,9521
0.2387,4.1383,9520
0.2383,4.1383,9519
0.2396,4.1383,9518
0.2395,4.1383,9517
0.2403,4.1383,9516
0.2416,4.1385,9515
0.2406,4.1385,9514
0.2418,4.1386,9513
0.2432,4.1383,9512
0.2419,4.1384,9511
0.2439,4.1384,9510
0.2442,4.1384,9509
0.2432,4.1384,9508
0.2452,4.1384,9507
0.2457,4.1383,9506
0.2448,4.1383,9505
0.247,4.1383,9504
0.246,4.1383,9503
0.2474,4.1383,9502
0.2487,4.1383,9501
0.2471,4.1383,9500
0.2489,4.1383,9499
0.2508,4.1384,9498
0.2485,4.1383,9497
0.2508,4.1384,9496
0.2513,4.1385,9495
0.2499,4.1386,9494
0.2526,4.1383,9493
0.2529,4.1384,9492
0.2515,4.1386,9491
0.2539,4.1384,9490
0.253,4.1384,9489
0.2543,4.1383,9488
0.2563,4.1385,9487
0.2539,4.1384,9486
0.256,4.1385,9485
0.2572,4.1386,9484
0.2555,4.1386,9483
0.2581,4.1386,9482
0.2584,4.1385,9481
0.2571,4.1384,9480
0.2591,4.1386,9479
0.2599,4.1384,9478
0.2586,4.1386,9477
0.2611,4.1384,9476
0.2602,4.1384,9475
0.2613,4.1381,9474
0.2626,4.1382,9473
0.261,4.1382,9472
0.2628,4.1383,9471
0.2644,4.1383,9470
0.2625,4.1382,9469
0.2646,4.1383,9468
0.2653,4.1383,9467
0.2644,4.1383,9466
0.2663,4.1383,9465
0.2665,4.1382,9464
0.266,4.1381,9463
0.2675,4.1382,9462
0.2674,4.138,9461
0.2684,4.138,9460
0.2696,4.138,9459
0.2687,4.1381,9458
0.2698,4.1383,9457
0.2707,4.1383,9456
0.2704,4.138,9455
0.2716,4.1383,9454
0.272,4.1383,9453
0.2721,4.1383,9452
0.2729,4.1383,9451
0.2734,4.1383,9450
0.2739,4.1383,9449
0.2742,4.1382,9448
0.2751,4.1384,9447
0.2752,4.1384,9446
0.2756,4.1385,9445
0.2768,4.1383,9444
0.2767,4.1383,9443
0.2768,4.1384,9442
0.2783,4.1383,9441
0.2778,4.1383,9440
0.2786,4.1384,9439
0.2798,4.1382,9438
0.2794,4.1383,9437
0.2803,4.1381,9436
0.2813,4.1381,9435
0.2808,4.1382,9434
0.2826,4.1381,9433
0.2817,4.1382,9432
0.282,4.1381,9431
0.2843,4.1381,9430
0.2833,4.1382,9429
0.2838,4.138,9428
0.2858,4.1381,9427
0.284,4.1382,9426
0.2856,4.1381,9425
0.2875,4.1381,9424
0.2857,4.1379,9423
0.2872,4.1379,9422
0.2886,4.1381,9421
0.2874,4.1379,9420
0.2899,4.138,9419
0.2886,4.1381,9418
0.2894,4.1383,9417
0.2916,4.1383,9416
0.2902,4.1383,9415
0.2904,4.1383,9414
0.2931,4.1383,9413
0.2911,4.1381,9412
0.2926,4.1381,9411
0.2945,4.1382,9410
0.2923,4.1381,9409
0.2942,4.138,9408
0.2956,4.1381,9407
0.2948,4.1382,9406
0.2968,4.1381,9405
0.2956,4.1381,9404
0.2958,4.1382,9403
0.2984,4.138,9402
0.2973,4.138,9401
0.2977,4.138,9400
0.3,4.1379,9399
0.2979,4.1379,9398
0.2996,4.1379,9397
0.3013,4.1381,9396
0.2996,4.1381,9395
0.3011,4.138,9394
0.3023,4.1382,9393
0.3015,4.1382,9392
0.3037,4.1381,9391
0.3027,4.1379,9390
0.3034,4.1381,9389
0.3051,4.1381,9388
0.3044,4.1379,9387
0.3046,4.1382,9386
0.3066,4.1379,9385
0.3055,4.138,9384
0.3066,4.138,9383
0.308,4.1379,9382
0.307,4.138,9381
0.3082,4.1379,9380
0.3091,4.138,9379
0.3091,4.138,9378
0.3102,4.138,9377
0.3102,4.1379,9376
0.3107,4.1379,9375
0.3116,4.1379,9374
0.3117,4.1379,9373
0.3127,4.1379,9372
0.3127,4.1379,9371
0.3135,4.1378,9370
0.3139,4.1379,9369
0.3141,4.1379,9368
0.3148,4.1379,9367
0.3155,4.138,9366
0.3154,4.1379,9365
0.3166,4.1379,9364
0.3164,4.1377,9363
0.3171,4.1376,9362
0.318,4.1377,9361
0.3177,4.1376,9360
0.3187,4.1378,9359
0.32,4.1379,9358
0.3187,4.1378,9357
0.3205,4.1379,9356
0.321,4.1379,9355
0.3202,4.1379,9354
0.3224,4.1378,9353
0.3226,4.1379,9352
0.3216,4.1379,9351
0.3235,4.1379,9350
0.323,4.1379,9349
0.3242,4.138,9348
0.3255,4.1378,9347
0.3244,4.1378,9346
0.3257,4.138,9345
0.3271,4.1378,9344
0.3251,4.1379,9343
0.328,4.1379,9342
0.3282,4.138,9341
0.3269,4.1377,9340
0.3294,4.1379,9339
0.3298,4.1376,9338
0.3284,4.1377,9337
0.3309,4.1377,9336
0.3299,4.1379,9335
0.3313,4.1377,9334
0.3322,4.1377,9333
0.3314,4.1377,9332
0.3329,4.1377,9331
0.3346,4.1377,9330
0.3323,4.1376,9329
0.3347,4.1376,9328
0.3354,4.1377,9327
0.334,4.1378,9326
0.3366,4.1376,9325
0.3368,4.1376,9324
0.3354,4.1376,9323
0.3377,4.1376,9322
0.3383,4.1376,9321
0.3371,4.1375,9320
0.3394,4.1377,9319
0.3385,4.1377,9318
0.3399,4.1376,9317
0.341,4.1376,9316
0.3397,4.1376,9315
0.3412,4.1376,9314
0.3429,4.1374,9313
0.3412,4.1376,9312
0.3432,4.1376,9311
0.3437,4.1376,9310
0.343,4.1376,9309
0.3448,4.1377,9308
0.3451,4.1376,9307
0.3444,4.1376,9306
0.346,4.1377,9305
0.3459,4.1376,9304
0.3468,4.1377,9303
0.348,4.1377,9302
0.3473,4.1376,9301
0.3484,4.1375,9300
0.3491,4.1375,9299
0.3489,4.1377,9298
0.35,4.1376,9297
0.3505,4.1377,9296
0.3506,4.1377,9295
0.3516,4.1377,9294
0.3518,4.1376,9293
0.3524,4.1376,9292
0.3526,4.1377,9291
0.3537,4.1376,9290
0.3536,4.1376,9289
0.3541,4.1375,9288
0.3552,4.1377,9287
0.355,4.1374,9286
0.3553,4.1376,9285
0.3569,4.1377,9284
0.3562,4.1374,9283
0.357,4.1376,9282
0.358,4.1377,9281
0.3576,4.1377,9280
0.3586,4.1375,9279
0.3598,4.1376,9278
0.3594,4.1374,9277
0.3612,4.1376,9276
0.3602,4.1377,9275
0.3604,4.1378,9274
0.3627,4.1377,9273
0.3616,4.1376,9272
0.3623,4.1376,9271
0.3644,4.1377,9270
0.3623,4.1378,9269
0.3641,4.1378,9268
0.3654,4.1377,9267
0.3648,4.1378,9266
0.3658,4.1376,9265
0.3669,4.1376,9264
0.3659,4.1374,9263
0.3685,4.1374,9262
0.3671,4.1376,9261
0.3676,4.1374,9260
0.3701,4.1376,9259
0.3684,4.1377,9258
0.3687,4.1376,9257
0.3715,4.1377,9256
0.3695,4.1374,9255
0.3711,4.1375,9254
0.3725,4.1375,9253
0.3713,4.1375,9252
0.3726,4.1375,9251
0.374,4.1376,9250
0.3732,4.1376,9249
0.3755,4.1376,9248
0.374,4.1376,9247
0.3743,4.1373,9246
0.3772,4.1376,9245
0.3755,4.1376,9244
0.3762,4.1377,9243
0.3785,4.1377,9242
0.3763,4.1376,9241
0.3782,4.1376,9240
0.3794,4.1375,9239
0.3789,4.1374,9238
0.3797,4.1376,9237
0.3809,4.1375,9236
0.3801,4.1378,9235
0.3822,4.1376,9234
0.3813,4.1376,9233
0.3818,4.1375,9232
0.3836,4.1376,9231
0.3829,4.1376,9230
0.3832,4.1376,9229
0.3851,4.1377,9228
0.3843,4.1378,9227
0.3854,4.1375,9226
0.3862,4.1377,9225
0.3858,4.1375,9224
0.3866,4.1375,9223
0.3876,4.1375,9222
0.3877,4.1375,9221
0.3887,4.1376,9220
0.3888,4.1373,9219
0.3893,4.1375,9218
0.3901,4.1376,9217
0.3905,4.1375,9216
0.3911,4.1373,9215
0.3912,4.1376,9214
0.392,4.1375,9213
0.3926,4.1375,9212
0.3924,4.1376,9211
0.3935,4.1375,9210
0.394,4.1376,9209
0.3938,4.1374,9208
0.3951,4.1375,9207
0.3947,4.1376,9206
0.3958,4.1374,9205
0.3965,4.1376,9204
0.3963,4.1373,9203
0.3974,4.1374,9202
0.3986,4.1373,9201
0.3972,4.1373,9200
0.3991,4.1375,9199
0.3997,4.1374,9198
0.3986,4.1376,9197
0.401,4.1374,9196
0.4011,4.1375,9195
0.4001,4.1374,9194
0.4021,4.1375,9193
0.4015,4.1374,9192
0.4028,4.1375,9191
0.404,4.1373,9190
0.4029,4.1374,9189
0.4043,4.1372,9188
0.4056,4.1372,9187
0.4039,4.1372,9186
0.4066,4.1373,9185
0.4068,4.1374,9184
0.4053,4.1375,9183
0.4078,4.1376,9182
0.4083,4.1372,9181
0.407,4.1375,9180
0.4097,4.1372,9179
0.4084,4.1372,9178
0.4098,4.1372,9177
0.4107,4.1374,9176
0.4099,4.1372,9175
0.4114,4.1372,9174
0.4132,4.1372,9173
0.4108,4.1371,9172
0.4133,4.1372,9171
0.4136,4.1372,9170
0.4124,4.1372,9169
0.4151,4.1373,9168
0.4152,4.1373,9167
0.4141,4.1371,9166
0.4161,4.1372,9165
0.4154,4.1371,9164
0.4166,4.137,9163
0.418,4.1369,9162
0.4169,4.137,9161
0.4182,4.1369,9160
0.4196,4.1372,9159
0.4179,4.137,9158
0.4205,4.137,9157
0.4208,4.137,9156
0.4197,4.137,9155
0.4216,4.1371,9154
0.4222,4.1371,9153
0.4215,4.1371,9152
0.4232,4.137,9151
0.4229,4.1368,9150
0.4238,4.1369,9149
0.4244,4.137,9148
0.4243,4.137,9147
0.4252,4.1371,9146
0.4265,4.1371,9145
0.4257,4.1371,9144
0.4269,4.1369,9143
0.4275,4.1369,9142
0.4275,4.137,9141
0.4285,4.137,9140
0.429,4.1369,9139
0.4294,4.1371,9138
0.4297,4.1371,9137
0.4304,4.1371,9136
0.4306,4.1371,9135
0.4311,4.137,9134
0.4322,4.1371,9133
0.4321,4.1371,9132
0.4325,4.1371,9131
0.4338,4.1372,9130
0.433,4.1369,9129
0.4341,4.1369,9128
0.4355,4.1369,9127
0.4347,4.1368,9126
0.4356,4.137,9125
0.4366,4.137,9124
0.4361,4.137,9123
0.438,4.1371,9122
0.4373,4.137,9121
0.4379,4.1372,9120
0.4398,4.137,9119
0.4386,4.1369,9118
0.4389,4.1369,9117
0.4414,4.1369,9116
0.4401,4.1368,9115
0.4408,4.1369,9114
0.4429,4.1368,9113
0.4407,4.1368,9112
0.4426,4.1369,9111
0.4438,4.1371,9110
0.4432,4.1371,9109
0.4441,4.1371,9108
0.4454,4.137,9107
0.4443,4.1369,9106
0.447,4.1368,9105
0.4457,4.1369,9104
0.4461,4.1368,9103
0.4486,4.1368,9102
0.4471,4.1371,9101
0.4471,4.137,9100
0.45,4.137,9099
0.448,4.1369,9098
0.4495,4.1371,9097
0.451,4.1369,9096
0.4498,4.137,9095
0.4511,4.1369,9094
0.4525,4.1369,9093
0.4518,4.1368,9092
0.4539,4.1368,9091
0.4528,4.1368,9090
0.4528,4.1367,9089
0.4555,4.1368,9088
0.4541,4.1367,9087
0.4546,4.1369,9086
0.4569,4.1368,9085
0.4548,4.1369,9084
0.4566,4.1369,9083
0.4578,4.1369,9082
0.4573,4.1368,9081
0.4583,4.1368,9080
0.4593,4.1369,9079
0.4586,4.1369,9078
0.4606,4.1368,9077
0.4597,4.1368,9076
0.4604,4.1368,9075
0.4621,4.1368,9074
0.4614,4.1368,9073
0.4616,4.1368,9072
0.4635,4.1368,9071
0.4627,4.1368,9070
0.4636,4.1368,9069
0.4646,4.1368,9068
0.4645,4.1368,9067
0.4653,4.1367,9066
0.466,4.1368,9065
0.4661,4.1367,9064
0.4671,4.1368,9063
0.4671,4.1368,9062
0.4676,4.1368,9061
0.4686,4.137,9060
0.4688,4.1368,9059
0.4696,4.1369,9058
0.4695,4.1368,9057
0.4706,4.1368,9056
0.471,4.1368,9055
0.4709,4.1368,9054
0.472,4.1368,9053
0.4725,4.1368,9052
0.472,4.1367,9051
0.4736,4.1367,9050
0.4733,4.1368,9049
0.4742,4.1368,9048
0.4753,4.1368,9047
0.4743,4.1369,9046
0.4758,4.1368,9045
0.4772,4.1368,9044
0.4757,4.1369,9043
0.4777,4.1368,9042
0.478,4.1368,9041
0.4771,4.137,9040
0.4794,4.1368,9039
0.4797,4.1368,9038
0.4785,4.1368,9037
0.4805,4.1368,9036
0.4799,4.1367,9035
0.4811,4.1368,9034
0.4829,4.1368,9033
0.4808,4.1369,9032
0.4827,4.1368,9031
0.4842,4.1368,9030
0.4823,4.1368,9029
0.4851,4.1368,9028
0.4853,4.1367,9027
0.4839,4.1368,9026
0.4861,4.1368,9025
0.4867,4.1367,9024
0.4854,4.1368,9023
0.4881,4.1368,9022
0.487,4.1368,9021
0.4883,4.1369,9020
0.4898,4.1368,9019
0.4878,4.1368,9018
0.4897,4.1369,9017
0.4917,4.1369,9016
0.4893,4.1367,9015
0.4917,4.1367,9014
0.4922,4.1367,9013
0.4906,4.1368,9012
0.4935,4.1368,9011
0.4937,4.1368,9010
0.4925,4.1369,9009
0.4947,4.1368,9008
0.494,4.1368,9007
0.4953,4.1368,9006
0.4965,4.137,9005
0.4955,4.1366,9004
0.4968,4.1368,9003
0.498,4.1368,9002
0.4965,4.1368,9001
0.4988,4.1368,9000
0.499,4.1369,8999
0.4983,4.1367,8998
0.5,4.1365,8997
0.5005,4.1367,8996
0.4999,4.1366,8995
0.5017,4.1366,8994
0.5013,4.1365,8993
0.5023,4.1366,8992
0.503,4.1365,8991
0.5029,4.1366,8990
0.5038,4.1366,8989
0.5047,4.1365,8988
0.5042,4.1367,8987
0.5053,4.1365,8986
0.5058,4.1366,8985
0.506,4.1366,8984
0.5069,4.1368,8983
0.5076,4.1365,8982
0.5079,4.1367,8981
0.5081,4.1365,8980
0.509,4.1368,8979
0.509,4.1366,8978
0.5094,4.1366,8977
0.5106,4.1367,8976
0.5105,4.1367,8975
0.5109,4.1365,8974
0.5123,4.1366,8973
0.5113,4.1367,8972
0.5124,4.1366,8971
0.5139,4.1366,8970
0.513,4.1367,8969
0.5142,4.1367,8968
0.5152,4.1364,8967
0.5145,4.1365,8966
0.5166,4.1366,8965
0.5156,4.1365,8964
0.5163,4.1365,8963
0.5181,4.1365,8962
0.5172,4.1365,8961
0.5174,4.1365,8960
0.5198,4.1365,8959
0.5181,4.1365,8958
0.5195,4.1366,8957
0.5214,4.1367,8956
0.5192,4.1365,8955
0.5211,4.1365,8954
0.5225,4.1362,8953
0.5217,4.1363,8952
0.5239,4.1363,8951
0.5224,4.1364,8950
0.5227,4.1365,8949
0.5254,4.1365,8948
0.5239,4.1364,8947
0.5246,4.1362,8946
0.5271,4.1362,8945
0.5246,4.1363,8944
0.5264,4.1364,8943
0.5286,4.1361,8942
0.5267,4.1365,8941
0.5281,4.1363,8940
0.5296,4.1364,8939
0.5283,4.1365,8938
0.5308,4.1364,8937
0.5295,4.1365,8936
0.5302,4.1365,8935
0.5324,4.1364,8934
0.531,4.1365,8933
0.5313,4.1365,8932
0.5341,4.1364,8931
0.5322,4.1364,8930
0.5336,4.1363,8929
0.5352,4.1363,8928
0.5334,4.1363,8927
0.535,4.1364,8926
0.5362,4.1363,8925
0.5358,4.1363,8924
0.5375,4.1363,8923
0.5366,4.1363,8922
0.537,4.1363,8921
0.539,4.1365,8920
0.5383,4.1365,8919
0.5389,4.1366,8918
0.5406,4.1365,8917
0.5393,4.1365,8916
0.5406,4.1365,8915
0.542,4.1365,8914
0.5412,4.1367,8913
0.5421,4.1366,8912
0.543,4.1368,8911
0.5429,4.1368,8910
0.5441,4.1368,8909
0.5441,4.1369,8908
